Collection_no.	Genus	(Infra)Species	Databaseno.(name_on_the_tube)	L0725	F4121	fVGF	rVVG
Lu24465	Leptochilus	decurrens	Co558	br04	br10	br17	br07
Kuo3849	Lepisorus	papakensis	Co560	br06	br10	br17	br08
Lu26100	Asplenium	oldhamii	Co561	br07	br10	br17	br09
FWL883	Pteridium	aquilinumsubsp.wightianum	Co564	br08	br06		
Lu19683	Crepidomanes	vitiense	Co567	br05	br11	br18	br03
Lu19492	Pityrogramma	calomelanos	Co568	br06	br11	br18	br04
Lu19488	Teciaria	impressa	Co569	br07	br11	br18	br05
Lu29851	Asplenium	trichomanes	Co570	br19	br03	br18	br06
Lu29667	Crepidomanes	makinoi	Co571	br18	br01	br18	br07
Lu29657	Coniogramme	intermedia	Co572	br11	br04	br18	br08
Lu29998	Dryopteris	pseudolunanensis	Co573	br12	br04	br18	br09
Lu29970	Adiantum	diaphanum	Co574	br13	br04	br01	br01
Lu30186	Tectaria	subtriphylla	Co575	br14	br04	br01	br02
Lu30085	Microsorum	scolopendria	Co577	br16	br04	br01	br04
Wade960	Deparia	unifurcata	Co578			br01	br05
Hsu2628	Ophioglossum	thermale	Co579	br18	br04		
Hsu3121	Asplenium	tenerum	Co580	br19	br04		
Hsu4008	Pseudocyclosorus	esquiroliixtylodes	Co581	br20	br04	br01	br08
Hsu5100	Pronephrium	ramosiixsimplex	Co582	br12	br05	br01	br09
Hsu5194	Athyrium	decurrentialatumvar.pilosellum	Co583	br13	br05	br02	br01
Hsu5959	Athyrium	christensenianum	Co584	br14	br05	br02	br02
Hsu5981	Polystichum	chunii	Co585			br02	br03
Hsu6057	Woodsia	okamotoi	Co586	br16	br05	br02	br04
Hsu6275	Vandenboschia	kalamocarpa	Co587	br17	br05		
Hsu6632	Athyrium	decurrentialatum	Co589	br19	br05		
Hsu7150	Hymenophyllum	palmatifidum	Co590	br20	br05	br02	br08
Hsu7329	Diplazium	virescensvar.conterminum	Co591	br01	br12	br02	br09
Hsu7949	Hymenophyllum	crispatum	Co592	br02	br12	br03	br01
